As,B,Ga,Ge,Na,P,Pb,S,Sb,Se,Te,Tl,TEC
0.0,0.0,0.0,0.0,30.0,15.714285714285714,0.0,54.285714285714285,0.0,0.0,0.0,0.0,68.0
0.0,0.0,0.0,0.0,33.333333333333336,14.285714285714286,0.0,52.38095238095238,0.0,0.0,0.0,0.0,56.0
0.0,0.0,0.0,0.0,36.666666666666664,12.857142857142858,0.0,50.47619047619048,0.0,0.0,0.0,0.0,67.5
0.0,0.0,0.0,0.0,40.0,11.428571428571429,0.0,48.57142857142857,0.0,0.0,0.0,0.0,65.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,460.0
0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,96.66666666666667,0.0,0.0,699.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,403.0
0.0,0.0,0.0,4.76,0.0,9.52,0.0,0.0,0.0,85.71,0.0,0.0,120.0
0.0,0.0,0.0,4.94,0.0,19.01,0.0,0.0,0.0,76.05,0.0,0.0,340.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,479.75
0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.5,0.0,85.5,0.0,0.0,683.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,76.0,0.0,0.0,472.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,38.0,0.0,57.0,0.0,0.0,775.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,47.5,0.0,47.5,0.0,0.0,653.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,76.0,0.0,19.0,0.0,0.0,816.0
0.0,0.0,0.0,5.41,0.0,27.03,0.0,0.0,0.0,67.57,0.0,0.0,116.66666409999998
0.0,0.0,0.0,5.66,0.0,18.87,0.0,0.0,0.0,75.47,0.0,0.0,113.33333590000002
0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,94.12,0.0,0.0,411.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,436.6666666666667
0.0,0.0,0.0,6.06,0.0,0.0,0.0,61.21199999999998,32.727999999999994,0.0,0.0,0.0,165.0
0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,93.33333333333333,0.0,0.0,443.0
0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,93.33,0.0,0.0,430.0
0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,15.0,77.5,0.0,0.0,289.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,395.0
0.0,0.0,0.0,9.91,0.0,9.01,0.0,0.0,0.0,81.08,0.0,0.0,110.0
0.0,0.0,0.0,9.91,0.0,18.02,0.0,0.0,0.0,72.07,0.0,0.0,320.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,35.0,33.7999992
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,80.0,0.0,0.0,294.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,65.0,0.0,0.0,184.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,81.0,0.0,0.0,398.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,646.0
0.0,0.0,0.0,10.71,0.0,17.86,0.0,0.0,0.0,71.43,0.0,0.0,106.66666409999998
0.0,0.0,0.0,11.1,0.0,0.0,0.0,88.9,0.0,0.0,0.0,0.0,621.0
0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,620.0
0.0,0.0,0.0,12.3,0.0,0.0,0.0,87.7,0.0,0.0,0.0,0.0,597.0
0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,15.0,72.5,0.0,0.0,249.0
0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,20.0,67.5,0.0,0.0,198.0
0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,25.0,62.5,0.0,0.0,158.0
0.0,0.0,0.0,12.5,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,520.0
0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,86.67,0.0,0.0,321.0
0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,86.66666666666667,0.0,0.0,149.0
0.0,0.0,0.0,13.333333333333334,40.0,0.0,0.0,46.66666666666667,0.0,0.0,0.0,0.0,220.0
0.0,0.0,0.0,14.3,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,508.0
0.0,0.0,0.0,14.97,0.0,17.01,0.0,0.0,0.0,68.03,0.0,0.0,260.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,60.0,17.0,33.4000015
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,30.0,36.0
