As,Ge,In,Pb,S,Sb,Se,Te,thermal_conductivity
0.0,28.0,0.0,14.0,0.0,0.0,58.0,0.0,3610000000.0
0.0,32.0,0.0,10.0,0.0,0.0,58.0,0.0,3620000000.0000005
0.0,34.0,0.0,8.0,0.0,0.0,58.0,0.0,3820000000.0
0.0,36.0,0.0,6.0,0.0,0.0,58.0,0.0,3800000000.0
0.0,38.0,0.0,4.0,0.0,0.0,58.0,0.0,3779999999.9999995
0.0,42.0,0.0,0.0,0.0,0.0,58.0,0.0,3720000000.0000005
3.0,37.0,0.0,0.0,60.0,0.0,0.0,0.0,2955000000.0
4.0,36.0,0.0,0.0,60.0,0.0,0.0,0.0,2790000000.0000005
5.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,1710000000.0000002
5.0,20.0,0.0,0.0,0.0,0.0,75.0,0.0,7500000000.0
8.9,0.0,0.0,0.0,61.2,0.0,0.0,29.9,1840000000.0
10.0,15.0,0.0,0.0,0.0,0.0,75.0,0.0,40999998999.99999
10.0,40.0,0.0,0.0,50.0,0.0,0.0,0.0,3410000000.0000005
10.11,0.0,0.0,0.0,69.67,0.0,0.0,20.22,2100000000.0
11.4,0.0,0.0,0.0,78.6,0.0,0.0,10.0,2420000000.0
12.0,33.0,0.0,0.0,0.0,0.0,55.0,0.0,2290000000.0
12.7,0.0,0.0,0.0,87.3,0.0,0.0,0.0,2340000000.0
15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1880000000.0
15.0,10.0,0.0,0.0,0.0,0.0,75.0,0.0,44299998000.0
15.0,35.0,0.0,0.0,0.0,0.0,50.0,0.0,2210000000.0
15.5,0.0,0.0,0.0,54.2,0.0,0.0,30.3,2210000000.0
17.8,0.0,0.0,0.0,62.2,0.0,0.0,20.0,2290000000.0
18.0,5.0,0.0,20.0,0.0,0.0,57.0,0.0,2390000000.0
18.7,0.0,0.0,0.0,81.3,0.0,0.0,0.0,2300000000.0
20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,3670000000.0
20.0,0.0,0.0,0.0,70.1,0.0,0.0,9.9,2500000000.0
20.0,10.0,0.0,0.0,0.0,0.0,0.0,70.0,14200000000.0
20.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,3100000000.0
20.0,20.0,0.0,0.0,0.0,0.0,60.0,0.0,3300000000.0
20.0,30.0,0.0,0.0,0.0,0.0,50.0,0.0,3300000000.0
21.2,0.0,0.0,0.0,78.8,0.0,0.0,0.0,2300000000.0
22.2,0.0,0.0,0.0,77.8,0.0,0.0,0.0,2630000000.0
22.62,0.0,0.0,0.0,57.26,0.0,0.0,20.12,2580000000.0
25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1915000000.0
25.0,2.5,0.0,0.0,0.0,0.0,72.5,0.0,2360000000.0
25.0,5.0,0.0,0.0,0.0,0.0,70.0,0.0,2390000000.0
25.0,7.5,0.0,0.0,0.0,0.0,67.5,0.0,2430000000.0
