As,B,Ga,Gd,Ge,La,Nb,P,S,Sb,Se,Si,Te,Ti,Y,Zn,Zr,Littleton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0
0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,61.21199999999998,32.727999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,493.0
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0
0.0,0.0,0.0,0.0,15.383333333333333,0.0,0.0,0.0,63.07666666666667,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,65.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,65.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0
0.0,0.0,0.0,0.0,22.223333333333333,0.0,0.0,0.0,64.44466666666666,13.331999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0
0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0
0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0
0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,50.0,0.0,0.0,0.0,0.0,513.0
0.0,0.0,0.0,0.0,27.449999999999992,0.0,0.0,0.0,65.48999999999998,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
0.0,0.0,0.0,0.0,27.86,0.0,0.0,0.0,0.0,11.94,59.7,0.0,0.0,0.0,0.0,0.0,0.0,543.0
0.0,0.0,0.0,0.0,29.63,0.0,0.0,0.0,65.926,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0
0.0,0.0,0.0,0.0,29.67333333333333,0.0,0.0,3.1371428571428575,67.1895238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0
0.0,0.0,0.0,0.0,31.2,0.0,0.0,1.8285714285714287,66.97142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0
0.0,0.0,0.0,0.0,31.58,0.0,0.0,0.0,66.316,2.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0
0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,30.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0
0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0
0.0,0.0,0.0,0.0,39.64,0.0,0.0,0.0,0.0,0.0,49.55,0.0,9.91,0.0,0.0,0.0,0.0,573.0
0.0,0.0,0.0,0.0,39.86,0.0,0.0,0.0,0.0,0.0,49.82,0.0,9.96,0.0,0.0,0.0,0.0,578.0
0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,588.0
0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0
0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,623.0
0.0,0.0,0.0,0.0,40.9,0.0,0.0,0.0,0.0,0.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,623.0
0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
0.0,0.0,2.2239999999999998,0.0,29.62666666666666,0.0,0.0,0.0,65.92533333333333,2.2239999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0
0.0,0.0,2.352,0.0,27.453333333333333,0.0,0.0,0.0,65.49066666666667,4.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0
0.0,0.0,2.5,0.0,25.0,0.0,0.0,0.0,65.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0
0.0,0.0,2.668,0.0,22.22,0.0,0.0,0.0,64.444,10.668000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0
0.0,0.0,2.856,0.0,19.05,0.0,0.0,0.0,63.81,14.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0
0.0,0.0,3.076,0.0,15.383333333333333,0.0,0.0,0.0,63.07666666666666,18.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0
0.0,0.0,3.332,0.0,11.11,0.0,0.0,0.0,62.22200000000001,23.336000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0
0.0,0.0,3.6360000000000006,0.0,6.06,0.0,0.0,0.0,61.211999999999996,29.092000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,60.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0
0.0,0.0,4.704,0.0,27.453333333333333,0.0,0.0,0.0,65.49066666666667,2.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0
0.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0
0.0,0.0,5.332,0.0,22.223333333333333,0.0,0.0,0.0,64.44466666666666,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0
0.0,0.0,5.715999999999999,0.0,19.046666666666667,0.0,0.0,0.0,63.809333333333335,11.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0
0.0,0.0,6.152,0.0,15.386666666666665,0.0,0.0,0.0,63.07733333333333,15.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0
0.0,0.0,6.668000000000001,0.0,11.11,0.0,0.0,0.0,62.222,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
0.0,0.0,7.272,0.0,6.06,0.0,0.0,0.0,61.212,25.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0
0.0,0.0,7.5,0.0,25.0,0.0,0.0,0.0,65.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0
0.0,0.0,8.0,0.0,22.223333333333333,0.0,0.0,0.0,64.44466666666666,5.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0
0.0,0.0,8.572,0.0,19.046666666666667,0.0,0.0,0.0,63.80933333333333,8.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0
0.0,0.0,9.232,0.0,15.383333333333333,0.0,0.0,0.0,63.07666666666667,12.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0
0.0,0.0,10.0,0.0,11.11,0.0,0.0,0.0,62.222,16.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0
0.0,0.0,10.908,0.0,6.06,0.0,0.0,0.0,61.211999999999996,21.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0
0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0
0.0,29.5,0.0,5.75,0.0,26.0,4.55,0.0,0.0,0.0,0.0,13.0,0.0,7.5,3.0,6.5,3.7,1013.0
0.0,30.5,0.0,5.5,0.0,26.0,4.55,0.0,0.0,0.0,0.0,13.0,0.0,7.5,2.0,6.5,3.95,1006.0
0.0,31.5,0.0,5.5,0.0,26.0,4.55,0.0,0.0,0.0,0.0,12.0,0.0,7.5,2.0,6.5,4.45,998.0
0.0,31.65,0.0,6.0,0.0,25.5,5.05,0.0,0.0,0.0,0.0,12.0,0.0,7.349999999999999,2.0,6.0,4.45,1006.0
0.0,32.0,0.0,6.0,0.0,25.5,5.05,0.0,0.0,0.0,0.0,12.0,0.0,7.5,2.0,5.5,4.45,1009.0
0.0,33.0,0.0,6.0,0.0,25.5,5.05,0.0,0.0,0.0,0.0,11.0,0.0,7.3,2.2,5.5,4.45,1006.0
0.0,33.0,0.0,6.0,0.0,25.5,5.05,0.0,0.0,0.0,0.0,11.0,0.0,7.5,2.0,5.5,4.45,1008.0
0.0,34.0,0.0,6.0,0.0,25.5,5.05,0.0,0.0,0.0,0.0,10.0,0.0,7.5,2.0,5.5,4.45,1003.0
0.0,35.71,0.0,11.39,0.0,22.83,3.8,0.0,0.0,0.0,0.0,10.36,0.0,5.58,2.74,1.96,4.76,1027.0
0.0,36.21,0.0,11.72,0.0,23.5,3.8,0.0,0.0,0.0,0.0,10.36,0.0,6.08,1.74,1.46,4.76,1026.0
0.0,36.21,0.0,11.72,0.0,23.5,4.3,0.0,0.0,0.0,0.0,10.36,0.0,5.58,1.74,1.46,4.76,1026.0
1.0,0.0,0.0,0.0,29.753333333333334,0.0,0.0,2.3542857142857145,66.89238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
2.008,0.0,0.0,0.0,29.829999999999995,0.0,0.0,1.5685714285714287,66.59342857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0
2.992,0.0,0.0,0.0,29.913333333333327,0.0,0.0,0.7942857142857143,66.30038095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0
3.7,0.0,0.0,0.0,18.81,0.0,0.0,3.7,73.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0
4.2,0.0,0.0,0.0,20.79,0.0,0.0,4.2,70.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0
4.268,0.0,0.0,0.0,28.803333333333327,0.0,0.0,0.8342857142857143,66.09438095238094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0
4.576,0.0,0.0,0.0,27.41,0.0,0.0,1.8085714285714285,66.20542857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0
4.8,0.0,0.0,0.0,23.78,0.0,0.0,4.8,66.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0
4.9,0.0,0.0,0.0,24.39,0.0,0.0,4.9,65.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0
5.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0
