As,Ge,In,P,S,Sb,Se,Si,Te,Tl,softening
0.0,30.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,793.1125000000001
0.0,30.0,0.0,15.0,55.0,0.0,0.0,0.0,0.0,0.0,773.15
0.0,30.0,0.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,30.0,0.0,25.0,45.0,0.0,0.0,0.0,0.0,0.0,743.15
0.0,30.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,693.15
0.0,30.0,0.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,688.15
0.0,30.0,0.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,733.15
0.0,30.0,5.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,653.0
0.0,30.0,8.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,605.0
0.0,30.3,0.0,0.0,0.0,0.0,45.5,0.0,0.0,24.2,643.15
0.0,32.0,5.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,623.0
0.0,32.0,8.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,601.0
0.0,33.0,0.0,0.0,0.0,0.0,62.0,0.0,5.0,0.0,628.15
0.0,33.333333333333336,0.0,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,710.0
0.0,33.6,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,841.15
0.0,35.0,0.0,0.0,0.0,0.0,30.0,0.0,35.0,0.0,569.15
0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0,0.0,591.15
0.0,35.0,0.0,0.0,0.0,0.0,40.0,0.0,25.0,0.0,604.15
0.0,35.0,0.0,0.0,0.0,0.0,45.0,0.0,20.0,0.0,623.15
0.0,35.0,0.0,0.0,0.0,0.0,50.0,0.0,15.0,0.0,647.15
0.0,35.0,0.0,0.0,0.0,0.0,60.0,0.0,5.0,0.0,615.15
0.0,35.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,660.0
0.0,35.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,628.15
0.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,40.0,0.0,544.15
0.0,35.0,0.0,0.0,30.0,0.0,0.0,0.0,35.0,0.0,614.15
0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,30.0,0.0,612.15
0.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,15.0,0.0,669.15
0.0,35.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,588.15
0.0,35.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,753.15
0.0,35.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,683.15
0.0,35.0,0.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,693.15
0.0,35.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,698.15
0.0,35.0,0.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,683.15
0.0,35.0,0.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,678.15
0.0,35.0,0.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,723.15
0.0,35.0,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,596.0
0.0,36.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,858.15
0.0,37.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,627.15
0.0,37.5,0.0,0.0,0.0,18.75,43.75,0.0,0.0,0.0,593.15
0.0,38.0,0.0,0.0,26.0,0.0,0.0,0.0,36.0,0.0,573.15
0.0,38.0,0.0,0.0,30.0,0.0,0.0,0.0,32.0,0.0,602.15
0.0,39.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,0.0,621.15
0.0,40.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,580.15
0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,626.15
0.0,40.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,618.15
0.0,40.0,0.0,0.0,52.0,0.0,0.0,0.0,8.0,0.0,654.15
0.0,40.0,0.0,0.0,53.0,0.0,0.0,0.0,7.0,0.0,658.15
0.0,40.0,0.0,0.0,56.0,0.0,0.0,0.0,4.0,0.0,652.15
0.0,40.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,660.15
0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,692.1200000000001
0.0,40.0,0.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,648.15
0.0,40.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,433.15
0.0,40.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,40.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,653.15
0.0,40.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,723.15
0.0,41.0,0.0,0.0,42.0,0.0,0.0,0.0,17.0,0.0,633.15
0.0,41.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,41.66666666666667,0.0,0.0,58.333333333333336,0.0,0.0,0.0,0.0,0.0,649.0
0.0,42.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,643.15
0.0,45.0,0.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,698.15
0.0,50.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,728.15
0.0,50.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,793.15
2.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,25.0,0.0,349.15
2.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,20.0,0.0,349.15
2.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,15.0,0.0,347.15
2.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,10.0,0.0,342.15
2.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,5.0,0.0,336.15
2.0,0.0,0.0,0.0,0.0,0.0,96.5,0.0,1.5,0.0,334.15
2.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,330.15
5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,75.0,0.0,468.15
6.0,0.0,0.0,0.0,9.0,0.0,42.5,0.0,0.0,42.5,418.15
7.0,0.0,0.0,0.0,10.5,0.0,41.25,0.0,0.0,41.25,418.15
8.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,343.0
8.0,0.0,0.0,0.0,12.0,0.0,40.0,0.0,0.0,40.0,418.15
8.0,26.666666666666668,0.0,0.0,12.0,0.0,53.333333333333336,0.0,0.0,0.0,633.0
9.0,0.0,0.0,0.0,13.5,0.0,38.75,0.0,0.0,38.75,418.15
10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,70.0,0.0,451.15
10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,364.8166666666666
10.0,0.0,0.0,0.0,15.0,0.0,37.5,0.0,0.0,37.5,418.15
10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,435.15
10.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0,0.0,475.0
10.0,25.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,709.15
10.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,654.0
10.0,30.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,598.0
11.0,0.0,0.0,0.0,16.5,0.0,36.25,0.0,0.0,36.25,423.15
12.0,0.0,0.0,0.0,18.0,0.0,35.0,0.0,0.0,35.0,433.15
12.0,23.333333333333332,0.0,0.0,18.0,0.0,46.666666666666664,0.0,0.0,0.0,613.0
14.0,21.666666666666668,0.0,0.0,21.0,0.0,43.333333333333336,0.0,0.0,0.0,591.0
14.41,30.38,0.0,0.0,55.21,0.0,0.0,0.0,0.0,0.0,663.0
14.67,26.42,0.0,0.0,58.91,0.0,0.0,0.0,0.0,0.0,658.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,0.0,580.15
15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,60.0,0.0,543.15
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,0.0,629.15
15.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0,403.15
15.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,75.0,0.0,420.15
15.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,75.0,0.0,420.15
15.0,5.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,449.15
15.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,420.15
15.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,0.0,424.15
15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,427.4833333333333
15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,433.15
15.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,455.15
15.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,537.0
15.0,25.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,658.0
15.0,30.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,663.0
15.0,35.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,747.15
15.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,693.0
15.0,40.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,698.0
15.31,33.67,0.0,0.0,0.0,0.0,51.02,0.0,0.0,0.0,655.15
16.0,0.0,0.0,0.0,24.0,0.0,30.0,0.0,0.0,30.0,443.15
16.0,20.0,0.0,0.0,24.0,0.0,40.0,0.0,0.0,0.0,573.0
16.0,39.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,658.15
17.5,5.0,0.0,10.0,67.5,0.0,0.0,0.0,0.0,0.0,457.15
18.0,0.0,0.0,0.0,27.0,0.0,27.5,0.0,0.0,27.5,453.15
18.0,18.333333333333332,0.0,0.0,27.0,0.0,36.666666666666664,0.0,0.0,0.0,579.0
19.8,20.16,0.0,0.0,60.04,0.0,0.0,0.0,0.0,0.0,608.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,65.0,0.0,461.15
20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,0.0,432.15
20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,626.15
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,0.0,661.15
20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,739.15
20.0,0.0,0.0,0.0,0.0,0.0,46.66666666666667,0.0,0.0,33.333333333333336,377.15
20.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,10.0,351.15
