As,Ga,Ge,La,S,Se,Te,Refractive_misc
14.91,0.0,35.51,0.0,0.0,29.38,20.2,2.8688
16.0,0.0,20.0,0.0,24.0,40.0,0.0,2.36
18.0,0.0,18.333333333333332,0.0,27.0,36.666666666666664,0.0,2.32
20.0,0.0,0.0,0.0,0.0,80.0,0.0,2.635
20.0,0.0,0.0,0.0,80.0,0.0,0.0,2.266666666666666
20.0,0.0,16.666666666666668,0.0,30.0,33.333333333333336,0.0,2.36
20.0,0.0,22.0,0.0,0.0,58.0,0.0,2.49
20.0,0.0,30.0,0.0,0.0,25.0,25.0,2.8169999999999997
20.0,0.0,30.0,0.0,0.0,30.0,20.0,2.7539999999999996
20.0,0.0,30.0,0.0,0.0,50.0,0.0,2.491
20.67,0.0,10.67,0.0,0.0,68.66,0.0,2.4594
20.85,0.0,0.0,0.0,0.0,79.15,0.0,2.4027
24.0,0.0,13.333333333333334,0.0,36.0,26.666666666666668,0.0,2.34
28.57,0.0,9.52,0.0,61.91,0.0,0.0,1.5310000000000001
30.0,0.0,0.0,0.0,0.0,70.0,0.0,2.691
30.0,0.0,0.0,0.0,70.0,0.0,0.0,2.4633333333333334
30.85,0.0,10.61,0.0,0.0,58.54,0.0,2.6201
32.0,0.0,6.666666666666667,0.0,48.0,13.333333333333334,0.0,2.34
35.0,0.0,0.0,0.0,0.0,58.0,7.0,3.01
38.4,0.0,0.0,0.0,0.0,61.6,0.0,2.7489999999999997
40.0,0.0,0.0,0.0,0.0,0.0,60.0,3.43
40.0,0.0,0.0,0.0,0.0,60.0,0.0,2.8067499999999996
40.0,0.0,0.0,0.0,15.0,45.0,0.0,2.7
40.0,0.0,0.0,0.0,20.0,40.0,0.0,2.53
40.0,0.0,0.0,0.0,45.0,15.0,0.0,2.48
40.0,0.0,0.0,0.0,60.0,0.0,0.0,2.4673333333333334
40.92,0.0,10.55,0.0,0.0,48.53,0.0,2.6067
50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.779
60.0,0.0,0.0,0.0,0.0,40.0,0.0,2.8110000000000004
70.0,0.0,0.0,0.0,0.0,30.0,0.0,2.8325
80.0,0.0,0.0,0.0,0.0,20.0,0.0,2.85
90.0,0.0,0.0,0.0,0.0,10.0,0.0,2.863
100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.347
