,y_pr,y_ac
0,383.93347,362.3576923076923
1,480.72885,487.15
2,370.88284,324.0
3,523.02783,525.15
4,512.6839,488.15
5,621.00073,653.15
6,449.48572,443.15
7,714.43115,702.0
8,464.53317,465.15
9,400.6125,374.15
10,490.1136,471.0
11,549.9527,548.075
12,674.71124,723.15
13,507.3479,513.15
14,397.76035,397.1499999999999
15,354.44556,347.65
16,847.38696,849.0
17,469.44397,430.0
18,413.69092,460.15
19,519.0814,521.15
20,320.11478,328.15
21,415.0824,413.1020833333333
22,324.97723,321.15
23,426.58096,435.15
24,423.61447,412.15
25,674.30194,685.15
26,508.05817,510.15
27,637.5304,663.15
28,515.0423,510.15
29,417.99585,364.15
30,702.503,704.15
31,652.2942,657.0
32,446.9828,451.575
33,628.53937,617.15
34,500.96863,481.075
35,581.1356,579.15
36,561.8409,545.0
37,394.838,404.075
38,404.31418,402.5541666666666
39,572.9989,589.0
40,336.99533,337.15
41,445.45648,432.15
42,567.8025,563.075
43,774.2391,740.0
44,360.47714,359.15
45,474.099,489.15
46,537.2478,535.0
47,450.4995,453.15
48,351.3479,338.15
49,469.3565,485.15
50,382.16846,379.15
51,343.9327,335.65
52,366.51468,370.075
53,344.2629,343.24999849999995
54,558.86444,568.0
55,661.3682,671.0
56,605.48114,633.9
57,616.9033,614.15
58,367.8902,364.15
59,352.46423,363.0
60,372.77695,362.15
61,440.78464,440.15
62,655.87195,707.15
63,689.10803,712.15
64,559.9852,551.65
65,434.68073,459.15
66,384.4692,353.15
67,376.45505,332.74999849999995
68,481.47858,488.625
69,490.85916,499.15
70,391.9789,412.15
71,512.8487,508.0
72,528.06683,589.0
73,617.4188,621.15
74,502.86008,493.15
75,468.90695,448.075
76,577.20483,583.15
77,397.02335,396.15
78,334.484,330.44999920000004
79,601.0389,615.15
80,347.49588,366.4833333333333
81,418.8332,412.15
82,433.0732,439.15
83,806.47205,808.9
84,422.12875,417.15
85,456.32822,450.0
86,546.2421,535.0500000000001
87,303.19592,283.15
88,676.1436,663.15
89,531.33545,549.15
90,572.8741,572.15
91,388.6296,413.15
92,378.15463,383.075
93,436.92117,447.0
94,817.1031,820.6
95,471.9636,448.5750000000001
96,382.4852,350.15
97,721.1966,720.15
98,419.10675,401.15
99,356.8839,342.575
100,417.2907,406.15
101,536.3072,536.0
102,417.0521,418.65
103,593.96277,586.075
104,369.0082,377.075
105,343.56873,336.15
106,343.61786,346.15
107,414.45718,402.1499999999999
108,428.95322,454.075
109,487.10565,480.15
110,439.77838,446.0
111,501.52042,498.075
112,388.7888,388.15
113,346.95563,372.15
114,505.70087,516.15
115,452.54205,449.575
116,442.8779,441.15
117,662.7579,724.15
118,337.44623,325.65
119,351.39856,355.15
120,399.16025,405.1
121,638.59314,642.2900000000001
122,370.11984,373.13
123,451.63538,425.15
124,357.1714,342.15
125,812.626,816.15
126,349.69797,349.15
127,582.4977,608.15
128,390.06857,395.075
129,449.8951,439.7875
130,446.1788,388.15
131,568.6639,613.075
132,475.52844,479.075
133,396.45422,406.05
134,387.0541,365.15
135,463.6831,532.15
136,622.2467,698.0
137,822.8097,822.0
138,514.47504,517.0
139,390.01694,394.15
140,613.63605,523.15
141,610.75726,628.075
142,649.67694,684.15
143,548.9735,533.15
144,496.58075,489.075
145,603.99536,624.9
146,501.55286,508.15
147,334.61688,322.15
148,334.05896,326.94999925
149,661.07715,670.075
150,406.10226,411.0
151,492.59695,498.15
152,386.69714,386.15
153,645.1048,623.15
154,624.7872,637.0
155,662.81134,673.0
156,337.69165,365.15
157,594.7588,579.65
158,459.5277,451.15
159,426.41925,410.15
160,393.1653,389.15
161,429.45505,428.075
162,446.9243,442.15
163,626.10126,623.0
164,430.11554,412.15
165,544.8802,560.0
166,541.3239,534.15
167,601.5428,545.075
168,343.72357,366.0
169,405.14792,400.575
170,386.462,381.0
171,807.8655,823.0
172,624.7971,624.15
173,410.31842,421.075
174,639.77844,658.0
175,586.824,604.0
176,517.88605,518.15
177,628.07007,625.0
178,578.7309,563.0
179,414.4001,444.05
180,337.6624,342.15
181,444.7585,443.075
182,450.5202,438.575
183,482.75784,409.15
184,341.5346,332.15
185,666.2994,706.15
186,604.4858,590.1500000000001
187,916.04877,915.0
188,528.1073,537.5
189,468.8778,488.075
190,790.29254,809.15
191,638.2634,643.15
192,424.16287,428.15
193,548.86444,435.0
194,666.226,720.15
195,587.3725,653.15
196,310.02347,307.075
197,445.61478,444.15
198,721.7584,708.0
199,699.3451,706.15
200,727.206,726.0
201,321.39304,325.15
202,406.13486,408.15
203,431.4522,422.575
204,466.19223,462.075
205,870.27277,946.0
206,381.7478,384.15
207,647.01654,599.15
208,517.0605,522.0
209,409.4863,414.15
210,282.84048,277.15
211,712.8017,728.15
212,883.1245,867.0
213,460.99817,458.15
214,574.25183,569.15
215,529.1501,520.15
216,568.33636,576.15
217,417.58945,421.15
218,425.87183,428.075
219,350.592,331.15
220,430.14896,428.0750000000001
221,510.4879,477.075
222,733.536,733.5
223,725.3584,745.0
224,409.2046,420.65
225,444.33813,430.15
226,758.8714,743.0
227,446.0411,444.575
228,360.0992,354.15
229,401.19583,390.5750000000001
230,622.9757,629.075
231,477.2266,492.0
232,542.8521,515.0
233,416.11832,398.15
234,440.87268,457.15
235,438.7712,458.8166666666666
236,336.01492,333.15
237,638.4107,673.15
238,620.1766,628.15
239,340.72034,345.15
240,487.39444,476.1333333333334
241,578.6963,543.0
242,521.5952,585.075
243,623.0689,604.0
244,526.2279,540.075
245,875.09106,872.0
246,392.90256,369.15
247,377.6685,378.15
248,778.82,775.0
249,632.09845,638.15
250,453.6648,446.15
251,377.5008,389.65
252,683.00543,709.0
253,357.74078,377.15
254,684.2595,675.15
255,450.15057,455.15
256,427.19147,425.15
257,533.8345,528.075
258,478.4918,450.15
259,411.94608,361.075
260,465.74878,473.075
261,618.49963,599.0
262,419.80533,420.075
263,526.83484,534.15
264,407.92804,383.15
265,683.38574,702.15
266,458.71674,456.89
267,514.5342,511.15
268,670.79224,682.575
269,495.04825,495.15
270,531.91156,523.15
271,539.4698,571.15
272,353.55026,352.15
273,628.7913,613.0
274,498.10168,481.15
275,451.4363,438.15
276,739.2682,728.0
277,513.69055,491.075
278,669.05707,658.09
279,499.9593,506.4333333333333
280,417.62476,393.15
281,480.99042,489.0
282,858.7962,875.0
283,471.1224,470.15
284,518.8506,512.15
285,340.71494,335.15
286,797.48047,806.0
287,806.4406,812.4
288,548.8992,528.0
289,566.7324,583.075
290,461.7,461.15
291,456.32822,456.0
292,731.8163,688.15
293,438.37558,451.15
294,393.6091,369.15
295,584.00104,583.15
296,434.625,453.05
297,472.49084,505.125
298,496.8424,497.15
299,510.82986,503.075
300,711.2428,673.0
301,426.1244,435.15
302,478.9114,480.15
303,408.84714,396.15
304,630.9017,640.5
305,561.0527,559.075
306,461.55154,456.0
307,452.21838,433.0
308,396.73926,409.15
309,343.28693,398.0
310,506.43854,493.15
311,560.2449,773.0
312,351.32483,363.15
313,661.3117,651.0
314,398.62793,397.1499999999999
315,564.40625,538.0
316,365.5314,385.075
317,450.5202,451.15
318,493.59787,485.15
319,716.81055,737.0
320,501.5519,468.075
321,420.1392,411.575
322,703.63934,695.15
323,444.7284,453.15
324,321.70142,323.4833333333333
325,336.15833,333.15
326,350.59464,353.15
327,368.14825,369.075
328,532.35364,518.15
329,680.08,668.7000000000003
330,460.25076,457.15
331,551.0599,540.15
332,507.04254,536.15
333,401.64868,408.15
334,448.25427,464.15
335,446.96365,424.15
336,780.9022,740.0
337,761.93616,768.0
338,367.66983,368.0
339,447.15564,446.15
340,433.5261,455.05
341,512.8487,499.0
342,285.75388,253.15
343,630.9017,638.0
344,605.62036,598.15
345,595.7629,597.0
346,506.58398,488.15
347,372.2117,368.65
348,720.1507,724.15
349,484.58252,497.15
350,321.9171,316.65
351,403.95563,402.575
352,317.54025,306.6
353,580.0282,566.075
354,618.1718,651.15
355,401.7917,399.15
356,556.1626,577.15
357,537.029,528.075
358,566.09186,530.0
359,427.05768,431.15
360,585.4129,572.15
361,344.06335,349.9166677
362,729.30023,745.0
363,442.50946,470.15
364,324.11118,291.8
365,588.6606,570.15
366,580.7911,586.15
367,811.3421,814.0
368,345.55594,344.15
369,548.1431,547.15
370,420.18558,443.15
371,393.78073,388.075
372,343.6673,333.075
373,404.05707,392.15
374,437.4926,442.075
375,668.42035,665.0
376,374.3372,337.0
377,458.67847,463.15
378,628.53937,620.15
379,440.44623,446.15
380,494.72522,529.075
381,447.96738,472.15
382,368.90225,369.15
383,518.8506,514.2916666666666
384,375.32745,362.075
385,416.7702,413.15
386,714.5692,760.0
387,425.8367,464.65
388,523.6592,528.15
389,447.1954,463.075
390,730.9872,728.0
391,311.6298,309.5500015
392,715.51807,714.0
393,361.49982,369.15
394,396.69153,392.15
395,526.40393,543.0
396,685.2518,698.0
397,476.17926,445.67
398,465.21823,471.7645470383276
399,776.7321,773.0
400,365.45084,365.65
401,649.2682,664.15
402,476.91467,467.15
403,469.53912,468.0
404,355.11243,355.13
405,410.60922,427.15
406,450.39685,448.15
407,603.0349,603.15
408,392.78812,384.15
409,534.7894,517.575
410,322.2378,329.65
411,604.61505,594.15
412,549.20386,553.15
413,597.7868,600.15
414,342.89105,371.15
415,643.7449,628.15
416,412.41815,418.15
417,450.70862,445.15
418,409.57782,418.15
419,762.8902,770.0
420,514.7663,510.075
421,629.88104,603.15
422,538.5811,536.0
423,355.69656,354.74999849999995
424,471.46616,481.1
425,581.50006,698.0
426,489.11304,476.65
427,403.13336,406.15
428,539.3639,544.15
429,413.23578,403.15
430,352.03458,346.5500015
431,552.0807,513.6
432,683.38574,686.15
433,425.3842,423.6125
434,519.2665,516.15
435,420.84256,432.15
436,821.93225,823.15
437,407.72787,401.075
438,456.9694,513.15
439,470.34677,467.15
440,594.82495,657.15
441,566.46075,570.15
442,569.93774,581.0
443,379.27386,377.0
444,479.02213,449.0
445,711.2837,746.15
446,777.5735,776.0
447,346.02774,348.05
448,350.74258,355.15
449,637.6832,636.15
450,499.44308,513.15
451,411.46045,334.15
452,609.7617,612.0
453,347.1233,365.15
454,451.42114,424.15
455,662.1243,660.0
456,407.29407,358.15
457,496.9999,502.15
458,514.43207,491.15
459,687.32263,700.15
460,449.6124,433.15
461,594.07513,603.15
462,502.13153,484.075
463,379.08267,382.15
464,612.4592,611.15
465,423.00208,438.075
466,323.5268,297.76666666666665
467,405.14792,400.325
468,565.0424,557.7166666666667
469,458.16864,471.075
470,540.37335,585.15
471,416.63654,414.15
472,381.35068,378.15
473,636.9168,649.0
474,595.3397,604.075
475,528.3072,540.0
476,362.7822,370.075
477,382.27377,459.15
478,649.6329,665.15
479,523.86536,555.15
480,599.31824,593.15
481,274.13196,246.575
482,478.03595,438.0
483,349.3075,349.5500015
484,315.6417,299.0
485,407.29068,397.075
486,371.35184,372.15
487,590.41583,627.15
488,836.8472,829.5749999999999
489,338.8051,348.15
490,660.9698,663.15
491,872.04285,943.0
492,527.64777,536.1125000000001
493,357.46677,382.15
494,591.51166,593.0000000000001
495,473.39948,466.15
496,684.0166,703.0
497,651.9087,646.0
498,675.47205,681.0
499,520.07996,510.15
500,353.73187,356.15
501,464.4731,470.075
502,559.0784,558.15
503,425.46658,422.15
504,554.83203,543.075
505,651.7038,653.0
506,322.04184,323.15
507,420.0778,418.0
508,506.58398,508.15
509,352.03458,349.0
510,602.47296,640.15
511,496.91803,398.075
512,549.9527,539.075
513,480.1665,460.15
514,398.41226,392.15
515,465.6056,481.15
516,411.5994,418.075
517,421.62885,431.15
518,432.85284,453.0
519,416.7249,415.15
520,451.24884,451.075
521,520.9106,492.0375
522,343.74573,352.65
523,572.23346,606.15
524,465.21823,470.0
525,540.328,531.15
526,562.0515,597.15
527,392.7367,383.15
528,416.94156,430.0
529,528.33105,546.15
530,656.7092,699.15
531,454.82022,466.15
532,591.35596,582.657142857143
533,682.9851,694.15
534,539.4457,541.15
535,592.0928,579.15
536,594.46936,566.15
537,599.02344,590.1500000000001
538,509.5145,511.15
539,482.99698,479.15
540,415.42737,398.15
541,561.07477,539.15
542,390.4444,380.15
543,297.3916,328.15
544,438.60266,450.15
545,539.73596,543.075
546,654.8221,633.0
547,663.2814,676.6333333333336
548,498.24213,473.15
549,650.39075,643.15
550,323.1924,326.65
551,614.8539,658.0
552,500.0697,501.15
553,633.148,641.15
554,618.49963,610.0
555,464.50436,452.0
556,529.5039,503.15
557,310.7846,333.075
558,392.39838,398.15
559,534.9233,538.15
560,484.36337,453.15
561,517.2414,503.15
562,570.56213,572.15
563,696.16785,712.15
564,497.70956,503.15
565,479.11826,477.15
566,493.63965,486.1
567,389.0386,385.075
568,506.58398,490.15
569,400.03494,403.15
