,y_pr,y_ac
0,393.9567,362.3576923076923
1,620.926,591.0
2,414.38766,410.0
3,424.91037,440.15
4,640.94434,653.15
5,520.76917,524.575
6,445.14658,465.15
7,351.7807,362.15
8,393.86508,374.15
9,507.58575,471.0
10,668.9732,723.15
11,632.23737,636.0
12,510.36487,513.15
13,447.35608,447.15
14,667.3288,665.0
15,748.4004,748.15
16,390.55066,397.1499999999999
17,488.6254,483.0
18,350.35376,347.65
19,850.2686,849.0
20,578.3248,578.075
21,366.78607,360.15
22,448.29663,430.0
23,425.51013,460.15
24,534.1754,521.15
25,348.3829,328.15
26,410.2549,413.1020833333333
27,515.6518,516.15
28,418.9186,412.15
29,521.04596,510.15
30,504.315,510.15
31,586.237,572.15
32,382.6542,364.15
33,695.56616,704.15
34,659.8194,657.0
35,608.1204,617.15
36,479.12292,482.15
37,498.71005,481.075
38,598.0688,579.15
39,564.8357,545.0
40,590.28143,578.15
41,481.05353,493.15
42,330.88684,337.15
43,352.37988,349.15
44,437.57004,432.15
45,776.86194,740.0
46,358.1964,359.15
47,472.40643,489.15
48,446.76672,453.15
49,659.45844,644.0
50,447.6303,485.15
51,374.91058,379.15
52,338.29245,335.65
53,371.89285,370.075
54,812.4612,806.15
55,349.85022,343.24999849999995
56,671.0859,671.0
57,422.5147,412.15
58,493.32507,508.15
59,596.20184,614.15
60,372.62085,364.15
61,451.95294,455.15
62,350.83356,363.0
63,369.6724,362.15
64,432.17545,440.15
65,624.46045,707.15
66,718.241,712.15
67,548.86566,551.65
68,432.82712,459.15
69,329.67874,323.65
70,385.5847,353.15
71,360.41943,332.74999849999995
72,465.80392,488.625
73,490.02057,499.15
74,509.45865,508.0
75,509.08954,589.0
76,448.9497,418.15
77,512.344,493.15
78,466.40247,448.075
79,587.9459,583.15
80,392.54236,396.15
81,330.88684,330.44999920000004
82,609.9247,615.15
83,545.20123,527.15
84,348.36545,366.4833333333333
85,421.99478,412.15
86,427.36008,439.15
87,814.7254,808.9
88,423.77167,417.15
89,471.40274,450.0
90,568.4133,806.0
91,553.3505,535.0500000000001
92,643.5733,653.0
93,565.5779,572.15
94,382.81763,383.075
95,441.67703,447.0
96,809.5931,820.6
97,663.6647,596.15
98,462.54868,448.5750000000001
99,643.6532,656.15
100,338.37994,376.15
101,406.73602,406.15
102,536.10016,536.0
103,609.75867,586.075
104,392.92657,377.075
105,340.11902,336.15
106,542.72107,591.15
107,409.36304,402.1499999999999
108,407.3799,399.99999999999994
109,806.7313,812.0
110,428.66034,454.075
111,448.94403,446.0
112,522.6604,523.15
113,502.5808,516.15
114,455.07074,449.575
115,445.76938,441.15
116,647.316,724.15
117,700.9966,722.15
118,386.05316,405.1
119,637.5321,642.2900000000001
120,588.2056,723.15
121,487.0073,483.15
122,667.1211,663.0
123,497.5256,508.075
124,549.7503,562.075
125,807.15466,816.15
126,344.727,349.15
127,599.2339,608.15
128,401.20566,395.075
129,457.62933,439.7875
130,597.7535,613.075
131,856.69385,840.15
132,479.44342,479.075
133,391.71732,406.05
134,378.81927,365.15
135,465.60004,532.15
136,636.02716,698.0
137,822.4876,822.0
138,501.43973,517.0
139,393.1422,394.15
140,534.8105,533.15
141,612.448,523.15
142,611.3691,628.075
143,639.1517,684.15
144,547.84314,547.15
145,472.88013,489.075
146,336.63474,322.15
147,344.38864,326.94999925
148,567.7709,576.15
149,663.92316,670.075
150,400.7394,411.0
151,492.56754,498.15
152,635.84607,623.15
153,623.94934,637.0
154,451.0214,451.15
155,453.51062,461.05
156,423.18048,410.15
157,677.4977,657.0
158,440.21683,428.075
159,482.6475,464.15
160,451.35712,442.15
161,624.48444,623.0
162,423.47278,412.15
163,546.57355,527.15
164,551.55316,560.0
165,609.7256,545.075
166,385.24863,366.0
167,405.0849,400.575
168,383.7474,381.0
169,801.6118,823.0
170,618.0468,624.15
171,440.63498,452.075
172,410.38412,421.15
173,532.91797,518.15
174,630.6652,625.0
175,605.086,563.0
176,424.7958,444.05
177,340.21994,342.15
178,449.59067,438.575
179,480.14587,409.15
180,442.91983,439.0
181,597.95776,590.1500000000001
182,916.76965,915.0
183,525.55963,537.5
184,367.01788,369.65
185,418.549,428.15
186,556.7794,538.15
187,568.9166,435.0
188,591.27106,720.15
189,410.71613,388.0
190,318.25595,307.075
191,429.75638,444.15
192,702.48755,706.15
193,562.2238,590.1500000000001
194,319.2735,325.15
195,645.99994,644.575
196,407.2438,408.15
197,442.62997,460.15
198,841.5578,946.0
199,449.82492,443.15
200,383.1507,384.15
201,621.3383,619.15
202,455.6576,469.15
203,640.14496,599.15
204,356.13562,358.0
205,501.3832,522.0
206,285.4619,277.15
207,655.08453,628.15
208,704.5959,728.15
209,498.37244,509.575
210,425.11673,417.15
211,594.7162,622.0
212,875.33685,867.0
213,464.949,458.15
214,423.0523,423.15
215,472.6554,470.15
216,525.6855,520.15
217,490.3564,497.15
218,417.39566,421.15
219,428.09775,428.075
220,336.63165,331.15
221,436.25174,428.0750000000001
222,481.71588,477.075
223,712.6097,733.5
224,725.6556,745.0
225,418.4266,420.65
226,762.6856,743.0
227,441.6416,444.575
228,355.24664,354.15
229,388.63016,390.5750000000001
230,376.86288,380.15
231,628.1936,629.075
232,416.25095,398.15
233,453.09802,457.15
234,456.74753,458.8166666666666
235,372.1185,380.15
236,333.0875,333.15
237,628.19836,673.15
238,615.2144,628.15
239,386.90598,385.15
240,485.5667,476.1333333333334
241,347.3991,354.15
242,581.6488,543.0
243,581.14886,585.075
244,497.6083,486.8975
245,533.1338,540.075
246,881.4645,872.0
247,384.27307,378.15
248,776.2452,775.0
249,631.7795,638.15
250,454.41956,446.15
251,394.1076,389.65
252,684.1815,709.0
253,679.38385,675.15
254,424.62238,425.15
255,343.58084,346.72000031000005
256,536.86725,528.075
257,454.95078,450.15
258,406.37756,361.075
259,597.3993,599.0
260,397.30786,383.15
261,406.1429,415.975
262,696.1361,694.15
263,618.4459,602.15
264,455.24432,456.89
265,641.1869,682.575
266,504.64987,495.15
267,536.8057,523.15
268,538.54645,571.15
269,353.276,352.15
270,609.59674,613.0
271,312.8479,308.15
272,500.52643,481.15
273,443.01276,438.15
274,738.0554,728.0
275,494.98303,491.075
276,330.96213,331.3500008
277,382.16647,367.15
278,522.71014,506.4333333333333
279,661.04517,661.15
280,484.0092,524.15
281,333.73062,345.15
282,889.96356,875.0
283,512.80426,470.15
284,513.6987,512.15
285,349.08722,361.7499985
286,435.8767,446.325
287,340.8055,335.15
288,606.9083,643.15
289,785.9759,806.0
290,709.0089,618.15
291,540.92944,528.0
292,392.70096,391.0
293,564.1112,583.075
294,468.7867,456.0
295,714.9587,688.15
296,426.56494,403.0
297,443.37997,451.15
298,630.34845,641.15
299,458.69363,453.05
300,499.1864,497.15
301,481.71628,435.15
302,412.36768,435.15
303,517.37366,494.075
304,407.00134,396.15
305,634.95135,640.5
306,560.9946,554.15
307,690.38306,687.1071428571429
308,448.3968,456.0
309,445.30243,433.0
310,738.5728,745.0
311,471.50577,489.15
312,515.6859,496.15
313,404.6192,398.15
314,357.74667,398.0
315,523.4145,526.15
316,499.95428,493.15
317,594.13416,773.0
318,509.63556,513.15
319,657.26324,651.0
320,392.07028,397.1499999999999
321,542.5429,538.0
322,449.59067,451.15
323,724.10846,737.0
324,504.73868,468.075
325,415.81165,411.575
326,406.4278,418.15
327,623.47815,620.0
328,697.07684,695.15
329,449.59067,453.15
330,531.84186,536.0
331,318.3264,323.4833333333333
332,350.43073,333.15
333,369.53326,353.15
334,517.301,518.15
335,672.572,668.7000000000003
336,456.94485,457.15
337,553.25397,540.15
338,386.09528,383.15
339,525.6718,536.15
340,400.31976,408.15
341,451.93372,464.15
342,474.45795,482.0
343,596.01483,595.15
344,768.7347,740.0
345,636.9501,638.15
346,768.419,768.0
347,374.19388,368.0
348,445.85275,446.15
349,661.005,665.0
350,422.88083,392.15
351,443.44922,455.05
352,509.45865,499.0
353,264.4857,253.15
354,631.393,638.0
355,414.2869,413.15
