,y_pr,y_ac
0,667.22034,591.0
1,476.4636,487.15
2,369.67053,324.0
3,510.03528,525.15
4,514.52405,488.15
5,416.8996,410.0
6,442.99936,440.15
7,452.8688,443.15
8,696.7259,702.0
9,519.48816,524.575
10,460.4508,465.15
11,356.36276,362.15
12,552.72577,548.075
13,634.1045,636.0
14,454.1266,447.15
15,668.5716,665.0
16,752.309,748.15
17,470.19583,483.0
18,348.1658,347.65
19,567.3865,578.075
20,355.30145,360.15
21,403.5965,460.15
22,318.09418,328.15
23,327.0696,321.15
24,515.30493,516.15
25,432.83127,435.15
26,675.06525,685.15
27,513.4005,510.15
28,636.3405,663.15
29,582.3392,572.15
30,388.26755,364.15
31,459.79453,451.575
32,604.4082,617.15
33,485.5383,482.15
34,483.30048,481.075
35,591.06903,578.15
36,405.37613,404.075
37,406.69583,402.5541666666666
38,589.60406,589.0
39,464.5247,493.15
40,359.85492,349.15
41,552.76965,563.075
42,383.8816,359.15
43,526.88934,535.0
44,339.84482,338.15
45,655.049,644.0
46,457.452,485.15
47,334.73367,335.65
48,366.16345,370.075
49,816.2202,806.15
50,561.39465,568.0
51,426.5514,412.15
52,610.53784,633.9
53,486.65128,508.15
54,451.54495,455.15
55,355.3594,363.0
56,380.54758,362.15
57,633.1717,707.15
58,700.4269,712.15
59,330.46704,323.65
60,393.13208,353.15
61,478.94757,488.625
62,403.9018,412.15
63,462.5598,418.15
64,614.0363,621.15
65,523.25183,493.15
66,406.1207,396.15
67,334.5477,330.44999920000004
68,601.95044,615.15
69,584.01733,527.15
70,440.07272,439.15
71,810.4005,808.9
72,419.9504,417.15
73,457.05402,450.0
74,567.0273,806.0
75,550.3244,535.0500000000001
76,316.3267,283.15
77,647.95703,653.0
78,671.5849,663.15
79,536.43933,549.15
80,572.4868,572.15
81,401.65417,413.15
82,379.2375,383.075
83,442.38736,447.0
84,663.2956,596.15
85,356.79095,350.15
86,714.00446,720.15
87,385.66104,401.15
88,668.1627,656.15
89,333.8347,376.15
90,365.0097,342.575
91,410.7956,418.65
92,607.5941,586.075
93,388.82147,377.075
94,341.98138,336.15
95,342.394,346.15
96,563.519,591.15
97,404.49026,402.1499999999999
98,432.2054,399.99999999999994
99,778.8009,812.0
100,429.81802,454.075
101,488.79495,480.15
102,444.49817,446.0
103,499.35178,498.075
104,374.68555,388.15
105,513.1573,523.15
106,398.23914,372.15
107,513.07965,516.15
108,453.43384,449.575
109,447.25452,441.15
110,661.29346,724.15
111,337.52707,325.65
112,349.2421,355.15
113,702.4247,722.15
114,551.2043,723.15
115,475.5327,483.15
116,352.53458,373.13
117,455.8414,425.15
118,661.02136,663.0
119,493.8889,508.075
120,352.35394,342.15
121,550.77155,562.075
122,813.1992,816.15
123,451.8561,439.7875
124,491.02652,388.15
125,592.0866,613.075
126,868.1566,840.15
127,476.39337,479.075
128,401.61563,406.05
129,640.3569,698.0
130,507.2787,517.0
131,540.5246,533.15
132,574.9036,523.15
133,539.29517,533.15
134,539.2589,547.15
135,572.52484,624.9
136,506.4625,508.15
137,338.48026,322.15
138,332.67,326.94999925
139,569.04535,576.15
140,675.0461,670.075
141,401.07797,411.0
142,372.73956,386.15
143,667.3594,673.0
144,343.30026,365.15
145,585.99316,579.65
146,461.69897,451.15
147,448.67953,461.05
148,428.7187,410.15
149,391.97913,389.15
150,679.5447,657.0
151,442.4103,464.15
152,635.02545,623.0
153,432.5819,412.15
154,544.8601,527.15
155,552.8624,560.0
156,543.61523,534.15
157,404.93787,400.575
158,380.8533,381.0
159,807.9562,823.0
160,442.62085,452.075
161,412.87912,421.075
162,651.3383,658.0
163,578.2685,604.0
164,417.0435,421.15
165,578.9659,563.0
166,447.64328,443.075
167,474.51572,409.15
168,334.96475,332.15
169,652.5766,706.15
170,437.0187,439.0
171,603.20105,590.1500000000001
172,497.77097,488.075
173,813.8178,809.15
174,368.61838,369.65
175,639.8974,643.15
176,554.048,538.15
177,560.1139,653.15
178,443.7216,388.0
179,722.45856,708.0
180,723.0797,726.0
181,562.951,590.1500000000001
182,642.83777,644.575
183,424.26483,422.575
184,435.95023,460.15
185,465.47638,462.075
186,456.75815,443.15
